"submission_date (S)","conspirators (S)","drinker (S)"
"1506481044557-b8b9c","[none]","iknowcss"
"1504746137980-ee999","[none]","mnapier"
"1506049885364-82900","[none]","ttruong"
"1505349215963-03f75","iknowcss,dennis","aliceeller"
"1505354854959-0618e","[none]","mnapier"
"1505436844038-9c8b9","[none]","iknowcss"
"1505440403199-2106a","[none]","daniel_livolsi"
"1504242328565-c7037","[none]","mgopal"
"1505354846541-819ce","[none]","mnapier"
"1504744052941-ad9b4","[none]","iknowcss"
"1505867931126-86144","[none]","aliceeller"
"1506647808287-4cf60","[none]","timothy.clifford"
"1504831022130-b0223","[none]","timothy.clifford"
"1506042286822-2500b","[none]","iknowcss"
"1506296451850-bb8ba","[none]","jmedrado"
"1504588428685-4b658","mnapier","moneill"
"1505453370781-07bb2","ttruong","dennis"
"1505264022743-4e7fd","[none]","timothy.clifford"
"1504571518252-200bf","[none]","iknowcss"
"1505451569399-26107","sprentice","daniel_livolsi"
"1505716075448-77bf1","[none]","mnapier"
"1506647796147-ee488","[none]","timothy.clifford"
"1504484899944-04fc1","[none]","aliceeller"
"1505955167320-8a8b8","[none]","aliceeller"
"1506405855746-0f202","[none]","ttruong"
"1506047540981-1be30","[none]","timothy.clifford"
"1505363073439-db20c","[none]","ttruong"
"1504484134984-1da68","[none]","jmedrado"
"1505096033506-892e3","[none]","timothy.clifford"
"1505781839025-d9e16","[none]","ttruong"
"1505177286839-1eb97","[none]","aliceeller"
"1505369096799-4ebad","[none]","daniel_livolsi"
"1505451559477-b8358","[none]","daniel_livolsi"
"1506471635693-f4165","[none]","sprentice"
"1504220335470-e15a9","[none]","iknowcss"
"1504851781524-779f5","[none]","iknowcss"
"1504496440725-b1021","[none]","ttruong"
"1505975219193-50065","[none]","timothy.clifford"
"1505258084554-f0474","[none]","mnapier"
"1505443359259-7c5d5","[none]","timothy.clifford"
"1506037981167-74335","dennis","sprentice"
"1505868151785-3f41f","iknowcss","mnapier"
"1504850297703-a54e4","[none]","moneill"
"1505434800538-bbcf0","[none]","moneill"
"1505781817384-42f17","[none]","aliceeller"
"1504658701061-cc8d3","[none]","sprentice"
"1506383045398-9c777","[none]","moneill"
"1504242853140-ae664","mgopal,mnapier,iknowcss","moneill"
"1504484115224-94f55","[none]","jmedrado"
"1504242307401-a4cf2","mgopal,moneill,mnapier","iknowcss"
"1504654695894-f25d1","iknowcss","mnapier"
"1506394162308-7c986","[none]","iknowcss"
"1505955379100-c5c1d","[none]","mnapier"
"1504572176372-282bf","[none]","jmedrado"
"1505349222103-bb593","aliceeller,dennis","iknowcss"
"1506647785227-6d76d","[none]","timothy.clifford"
"1505876251774-3160d","[none]","daniel_livolsi"
"1505785956523-18045","[none]","sprentice"
"1506405853476-a1b39","[none]","ttruong"
"1505453720918-0f317","[none]","ttruong"
"1504565245680-2ef4f","[none]","iknowcss"
"1504227990691-0762c","[none]","mgopal"
"1504571128572-e4854","[none]","moneill"
"1505700624699-ee630","[none]","aliceeller"
"1506292417926-3c7a8","[none]","aliceeller"
"1505174258953-7644b","vinny,jack.brown","timothy.clifford"
"1504834127811-47126","[none]","ttruong"
"1504486056805-5f905","[none]","timothy.clifford"
"1506379326623-ecfed","[none]","aliceeller"
"1506313162797-0eda7","[none]","iknowcss"
"1504478564793-e332b","[none]","iknowcss"
